input,optimizations,part,target_clock,estim_clock,lat_worst,lat_avg,lat_best,FF,LUT,BRAM,DSP
cosine_sum,/,xc7z020-clg484-1,10,8.625,69633,65537,61441,5866,8147,8,102
cosine_sum,cosf,xc7z020-clg484-1,10,8.665,35841,33793,31745,1942,3267,0,16
euclidean_dist_32,/,xc7z020-clg484-1,10,9.514,85004,85004,85004,21071,11280,67,75
euclidean_dist_32,d * d,xc7z020-clg484-1,10,8.129,16396,16396,16396,963,1548,0,5
euclidean_dist_32,d * d + rsqrt32,xc7z020-clg484-1,10,9.398,16405,16405,16405,599,1068,0,5
euclidean_dist_32,d * d + sqrtf,xc7z020-clg484-1,10,8.129,16396,16396,16396,963,1548,0,5
euclidean_dist_32,powf,xc7z020-clg484-1,10,9.386,32780,32780,32780,3800,3933,13,16
euclidean_dist_32,powf + rsqrt32 (inline),xc7z020-clg484-1,10,9.398,32793,32793,32793,3615,3802,13,19
euclidean_dist_32,rsqrt32 (inline),xc7z020-clg484-1,10,9.514,85017,32793,85017,20886,11175,67,78
euclidean_dist_32,rsqrt32 (no inline),xc7z020-clg484-1,10,9.514,85013,85013,85013,20882,11147,67,78
euclidean_dist_32,sqrt -> powf 0.5,xc7z020-clg484-1,10,9.386,37914,37914,37914,4415,5270,13,19
euclidean_dist_32,sqrtf,xc7z020-clg484-1,10,9.514,85004,85004,85004,21071,11280,67,75
euclidean_dist_32,sqrtf + powf,xc7z020-clg484-1,10,9.386,32780,32780,32780,3800,3933,13,16
euclidean_dist_64,/,xc7z020-clg484-1,10,9.514,80927,80927,80927,22080,12147,67,73
euclidean_dist_64,rsqrt64 (inline),xc7z020-clg484-1,10,9.514,80925,80925,80925,20755,10659,67,84
euclidean_dist_64,rsqrt64 (no inline),xc7z020-clg484-1,10,9.514,80925,80925,80925,20755,10659,67,84
sine_sum,/,xc7z020-clg484-1,10,8.625,69633,65537,61441,5867,8139,8,102
sine_sum,sinf,xc7z020-clg484-1,10,8.665,35841,33793,31745,1943,3262,0,16
svm_partitioned_predict,/,xc7z020-clg484-1,10,8.232,406857,406857,406857,3790,6467,68,47
svm_predict,/,xc7z020-clg484-1,10,8.232,406849,406849,406849,3473,5924,68,45
svm_predict,expf,xc7z020-clg484-1,10,11.759,11363,11363,11363,6492,8112,20,55
svm_predict,Pipeline 2 on inner loop,xc7z020-clg484-1,10,13.434,157289,157289,157289,3485,5900,68,46
svm_predict,Pipeline 2 on inner loop + expf,xc7z020-clg484-1,10,7.684,388129,388129,388129,972,2044,68,12
svm_predict,Pipeline 2 on outer loop,xc7z020-clg484-1,10,8.442,11352,11352,11352,4197,4274,20,22
svm_predict,Pipeline 2 on outer loop + expf,xc7z020-clg484-1,10,9.634,112355,112355,112355,1286,2127,68,13
svm_predict,Pipeline 4 on outer loop,xc7z020-clg484-1,10,13.434,11357,11357,11357,6235,8056,20,55
